Model,Repetition,Fold,Accuracy,F2-Score,Precision,Recall,AUC
KNN-7,5,5,0.8372753074739829,0.42951541850220265,0.21428571428571427,0.5735294117647058,0.7626538987688097
GaussianNB,6,1,0.8440453686200378,0.5246252676659529,0.2512820512820513,0.7205882352941176,0.8075609031491384
RandomForest,6,1,0.9291115311909263,0.35384615384615387,0.4339622641509434,0.3382352941176471,0.8290701128936422
DecisionTree-pruned,6,1,0.8969754253308129,0.3561643835616438,0.27956989247311825,0.38235294117647056,0.6092988710635769
LogisticRegression,6,1,0.8667296786389413,0.5617977528089888,0.28901734104046245,0.7352941176470589,0.8315805109922757
MLP,6,1,0.9083175803402647,0.38028169014084506,0.3253012048192771,0.39705882352941174,0.8174836601307189
KNN-3,6,1,0.8676748582230623,0.3817733990147783,0.23134328358208955,0.45588235294117646,0.701076945929887
KNN-5,6,1,0.8553875236294896,0.42923433874709976,0.23270440251572327,0.5441176470588235,0.7401663695781342
KNN-7,6,1,0.8449905482041588,0.42792792792792794,0.22093023255813954,0.5588235294117647,0.7512551990493167
GaussianNB,6,2,0.8733459357277883,0.6013363028953229,0.31213872832369943,0.782608695652174,0.8456060139798655
RandomForest,6,2,0.9234404536862004,0.39473684210526316,0.4090909090909091,0.391304347826087,0.8726865081109596
DecisionTree-pruned,6,2,0.8941398865784499,0.37333333333333335,0.2828282828282828,0.4057971014492754,0.6668938028457965
LogisticRegression,6,2,0.8724007561436673,0.5568181818181818,0.29878048780487804,0.7101449275362319,0.8879266130332205
MLP,6,2,0.8572778827977315,0.5111111111111111,0.26436781609195403,0.6666666666666666,0.8505590480796003
KNN-3,6,2,0.8355387523629489,0.34988713318284426,0.18562874251497005,0.4492753623188406,0.719992379947539
KNN-5,6,2,0.8298676748582231,0.4103671706263499,0.20320855614973263,0.5507246376811594,0.7656980407672807
KNN-7,6,2,0.8175803402646503,0.43388429752066116,0.20192307692307693,0.6086956521739131,0.7811433009481105
GaussianNB,6,3,0.8620037807183365,0.5257270693512305,0.27485380116959063,0.6811594202898551,0.817646283026333
RandomForest,6,3,0.9054820415879017,0.2881844380403458,0.28169014084507044,0.2898550724637681,0.8289005143535412
DecisionTree-pruned,6,3,0.8695652173913043,0.2597402597402597,0.1834862385321101,0.2898550724637681,0.6005187497252384
LogisticRegression,6,3,0.8553875236294896,0.5434782608695652,0.2717391304347826,0.7246376811594203,0.8587212965812342
MLP,6,3,0.8393194706994329,0.46436285097192226,0.22994652406417113,0.6231884057971014,0.82564733811052
KNN-3,6,3,0.8364839319470699,0.3310502283105023,0.17901234567901234,0.42028985507246375,0.6708064067056463
KNN-5,6,3,0.8260869565217391,0.3516483516483517,0.1787709497206704,0.463768115942029,0.6771076039331194
KNN-7,6,3,0.8119092627599244,0.36764705882352944,0.175,0.5072463768115942,0.6947582831435647
GaussianNB,6,4,0.8372753074739829,0.48283261802575106,0.23195876288659795,0.6617647058823529,0.7952254208053293
RandomForest,6,4,0.923368022705771,0.3857566765578635,0.4,0.38235294117647056,0.8236409326116696
DecisionTree-pruned,6,4,0.879848628192999,0.28150134048257375,0.2079207920792079,0.3088235294117647,0.6023240944507228
LogisticRegression,6,4,0.847682119205298,0.47671840354767187,0.24022346368715083,0.6323529411764706,0.826919645512401
MLP,6,4,0.8997161778618732,0.43882978723404253,0.3173076923076923,0.4852941176470588,0.7793374174745733
KNN-3,6,4,0.8703878902554399,0.4156479217603912,0.24817518248175183,0.5,0.7231829536668055
KNN-5,6,4,0.8457899716177862,0.41950113378684806,0.21893491124260356,0.5441176470588235,0.7441191340034498
